.outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  cover
0.00,when,class.prev.activity.clustersNo Previous Donation,is,0.0013,to,0.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%
0.00,when,class.prev.activity.clustersNo Previous Donation,>=,,,0.9995,&,class.prev.source.groupNo Previous Donation,< ,0.003,&,closest.retail.storeOutside of Catchment Area,is,0.01,to,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2%
0.00,when,class.prev.activity.clustersNo Previous Donation,>=,,,0.9995,&,class.prev.source.groupNo Previous Donation,< ,0.003,&,closest.retail.storeOutside of Catchment Area,>=,,,0.99,,,,,,,,,,,,,,,&,acquisition.groupDOG,>=,0.22,,,,,,,,,,,,, 0%
0.00,when,class.prev.activity.clustersNo Previous Donation,>=,,,0.9995,&,class.prev.source.groupNo Previous Donation,< ,0.003,&,closest.retail.storeOutside of Catchment Area,< ,0.01,,,,,,,,,,,&,acquisition.groupEVE,is,0.034,to,0.979,,,,,,,,,,,,,,,,, 1%
0.00,when,class.prev.activity.clustersNo Previous Donation,< ,0.0013,,,,,,,,,,,,,&,acquisition.groupTRU,< ,0.0023,&,donor.genderMale Group,>=,0.022,,,,,,,,,,,,,,,,,,,,,,, 3%
0.01,when,class.prev.activity.clustersNo Previous Donation,< ,0.0013,,,,,,,,,,,,,&,acquisition.groupTRU,>=,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,, 4%
0.11,when,class.prev.activity.clustersNo Previous Donation,< ,0.0013,,,,,,,,,,,,,&,acquisition.groupTRU,< ,0.0023,&,donor.genderMale Group,< ,0.022,,,,,,,,,,,&,class.prev.source.groupLLU,< ,0.5,,,,,&,acquisition.groupGOL,>=,0.5, 0%
0.16,when,class.prev.activity.clustersNo Previous Donation,>=,,,0.9995,&,class.prev.source.groupNo Previous Donation,>=,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6%
0.24,when,class.prev.activity.clustersNo Previous Donation,< ,0.0013,,,,,,,,,,,,,&,acquisition.groupTRU,< ,0.0023,&,donor.genderMale Group,< ,0.022,,,,,,,,,,,&,class.prev.source.groupLLU,>=,0.5,,,,,,,,, 1%
0.30,when,class.prev.activity.clustersNo Previous Donation,>=,,,0.9995,&,class.prev.source.groupNo Previous Donation,< ,0.003,&,closest.retail.storeOutside of Catchment Area,>=,,,0.99,,,,,,,,,,,,,,,&,acquisition.groupDOG,< ,0.22,,,,,&,class.prev.payment.type16,>=,0.041,,,,, 0%
0.74,when,class.prev.activity.clustersNo Previous Donation,>=,,,0.9995,&,class.prev.source.groupNo Previous Donation,< ,0.003,&,closest.retail.storeOutside of Catchment Area,>=,,,0.99,,,,,,,,,,,,,,,&,acquisition.groupDOG,< ,0.22,,,,,&,class.prev.payment.type16,< ,0.041,,,,, 3%
0.76,when,class.prev.activity.clustersNo Previous Donation,>=,,,0.9995,&,class.prev.source.groupNo Previous Donation,< ,0.003,&,closest.retail.storeOutside of Catchment Area,< ,0.01,,,,,,,,,,,&,acquisition.groupEVE,>=,,,0.979,,,,,,,,,,,,,,,,, 1%
0.80,when,class.prev.activity.clustersNo Previous Donation,>=,,,0.9995,&,class.prev.source.groupNo Previous Donation,< ,0.003,&,closest.retail.storeOutside of Catchment Area,< ,0.01,,,,,,,,,,,&,acquisition.groupEVE,< ,0.034,,,,,,,,,,,,,,,,,,,17%
0.87,when,class.prev.activity.clustersNo Previous Donation,< ,0.0013,,,,,,,,,,,,,&,acquisition.groupTRU,< ,0.0023,&,donor.genderMale Group,< ,0.022,,,,,,,,,,,&,class.prev.source.groupLLU,< ,0.5,,,,,&,acquisition.groupGOL,< ,0.5,45%
